     AST040 * C2017 05 15.67096 12 06 56.86 +15 27 47.6          18.5 Vq     C97
     AST040   C2017 05 15.70324 12 06 57.14 +15 27 50.5          17.3 Vq     C97
     AST040   C2017 10 25.69581 23 24 53.09 -02 22 14.1          17.9 Vq     C97
     AST040   C2017 10 25.75512 23 24 53.78 -02 22 30.1          17.6 Vq     C97
     AST040   C2017 10 28.64344 00 26 46.17 +00 39 51.3          17.6 Vq     C97
     AST040   C2017 10 28.70692 00 26 46.14 +00 40 03.7          17.4 Vq     C97
     AST040  2S2022 11 24.78444 23 06 32.43 -05 03 20.4          26.9 V      274
     AST040  2S2022 11 24.80034 23 06 32.77 -05 03 03.3          26.9 V      274
     AST040  2S2022 11 24.81624 23 06 33.11 -05 02 46.4          26.9 V      274


     AST031  2S2022 11 24.81624 23 06 31.88 -05 03 20.4          25.0 V      274
     AST032  2S2022 11 24.81841 23 06 32.46 -05 03 14.4          25.2 V      274
     AST033  2S2022 11 24.83262 23 06 28.25 -05 03 17.9          25.5 V      274
     AST033  2S2022 11 24.84852 23 06 28.81 -05 03 14.8          25.5 V      274
     AST033  2S2022 11 24.86442 23 06 29.37 -05 03 11.7          25.5 V      274
     AST034  2S2022 11 24.83262 23 06 28.03 -05 03 21.8          26.5 V      274
     AST034  2S2022 11 24.84852 23 06 28.43 -05 03 18.2          26.5 V      274
     AST034  2S2022 11 24.86442 23 06 28.83 -05 03 14.5          26.5 V      274
     AST035  2S2022 11 24.83262 23 06 27.97 -05 03 18.6          25.9 V      274
     AST035  2S2022 11 24.84852 23 06 28.22 -05 03 17.1          25.9 V      274
     AST035  2S2022 11 24.86442 23 06 28.46 -05 03 15.7          25.9 V      274
     AST036  2S2022 11 24.83262 23 06 30.43 -05 02 58.8          24.7 V      274
     AST036  2S2022 11 24.84852 23 06 30.65 -05 02 55.9          24.7 V      274
     AST036  2S2022 11 24.86442 23 06 30.87 -05 02 53.0          24.7 V      274
     AST037  2S2022 11 24.91500 23 06 28.06 -05 03 08.0          26.7 V      274
     AST037  2S2022 11 24.92705 23 06 28.54 -05 03 02.6          26.7 V      274
     AST037  2S2022 11 24.93885 23 06 29.00 -05 02 57.2          26.7 V      274
     AST038  2S2022 11 24.91500 23 06 27.94 -05 03 25.6          24.9 V      274
     AST038  2S2022 11 24.92705 23 06 28.43 -05 03 22.5          24.9 V      274
     AST038  2S2022 11 24.93885 23 06 28.91 -05 03 19.3          24.9 V      274
     AST039  2S2022 11 24.81624 23 06 30.22 -05 03 01.8          25.9 V      274
     AST040  2S2022 11 24.81624 23 06 33.11 -05 02 46.4          26.9 V      274
     AST041  2S2022 11 24.81865 23 06 29.05 -05 03 36.7          26.6 V      274
     AST041  2S2022 11 24.83069 23 06 29.80 -05 03 34.5          26.6 V      274
     AST041  2S2022 11 24.84250 23 06 30.53 -05 03 32.2          26.6 V      274
     AST042  2S2022 11 24.82443 23 06 29.41 -05 03 35.7          25.9 V      274
     AST042  2S2022 11 24.84033 23 06 30.40 -05 03 32.6          25.9 V      274
     AST043  2S2022 11 24.92584 23 06 29.84 -05 03 55.8          25.6 V      274
     AST043  2S2022 11 24.93548 23 06 30.83 -05 03 50.4          25.6 V      274
     AST043  2S2022 11 24.94512 23 06 31.82 -05 03 45.1          25.6 V      274
     AST079  2S2022 11 30.50037 23 06 28.89 -05 03 56.3          27.3 V      274
     AST079  2S2022 11 30.51521 23 06 29.41 -05 03 53.5          27.3 V      274
     AST079  2S2022 11 30.53005 23 06 29.92 -05 03 50.7          27.3 V      274
     AST080  2S2022 11 30.50037 23 06 31.22 -05 03 03.9          28.4 V      274
     AST080  2S2022 11 30.51521 23 06 31.50 -05 03 01.3          28.4 V      274
     AST080  2S2022 11 30.53005 23 06 31.77 -05 02 58.6          28.4 V      274
     AST081  2S2022 11 30.50037 23 06 28.81 -05 03 16.9          28.7 V      274
     AST081  2S2022 11 30.51521 23 06 29.54 -05 03 11.2          28.7 V      274
     AST081  2S2022 11 30.53005 23 06 30.29 -05 03 05.8          28.7 V      274
     AST082  2S2022 11 30.50037 23 06 28.49 -05 03 09.9          28.4 V      274
     AST082  2S2022 11 30.51521 23 06 29.02 -05 03 07.9          28.4 V      274
     AST082  2S2022 11 30.53005 23 06 29.55 -05 03 06.0          28.4 V      274
     AST083  2S2022 11 30.56782 23 06 28.44 -05 03 18.4          28.2 V      274
     AST083  2S2022 11 30.58266 23 06 29.12 -05 03 13.7          28.2 V      274
     AST083  2S2022 11 30.59750 23 06 29.80 -05 03 08.9          28.2 V      274
     AST084  2S2022 11 30.50037 23 06 33.82 -05 03 39.6          24.6 V      274
     AST084  2S2022 11 30.51521 23 06 34.54 -05 03 38.2          24.6 V      274
     AST084  2S2022 11 30.53005 23 06 35.27 -05 03 36.8          24.6 V      274
     AST085  2S2022 11 30.50037 23 06 28.83 -05 02 56.6          28.0 V      274
     AST085  2S2022 11 30.51521 23 06 30.01 -05 02 48.3          28.0 V      274
     AST085  2S2022 11 30.53005 23 06 31.20 -05 02 40.0          28.0 V      274
     AST086  2S2022 11 30.50037 23 06 33.67 -05 03 00.4          28.3 V      274
     AST086  2S2022 11 30.51521 23 06 34.34 -05 02 56.6          28.3 V      274
     AST086  2S2022 11 30.53005 23 06 35.00 -05 02 52.9          28.3 V      274
     AST032  2S2022 11 24.81841 23 06 32.46 -05 03 14.4          25.2 V      274
     AST033  2S2022 11 24.83262 23 06 28.25 -05 03 17.9          25.5 V      274
     AST033  2S2022 11 24.84852 23 06 28.81 -05 03 14.8          25.5 V      274
     AST033  2S2022 11 24.86442 23 06 29.37 -05 03 11.7          25.5 V      274
     AST034  2S2022 11 24.83262 23 06 28.03 -05 03 21.8          26.5 V      274
     AST034  2S2022 11 24.84852 23 06 28.43 -05 03 18.2          26.5 V      274
     AST034  2S2022 11 24.86442 23 06 28.83 -05 03 14.5          26.5 V      274
     AST035  2S2022 11 24.83262 23 06 27.97 -05 03 18.6          25.9 V      274
     AST035  2S2022 11 24.84852 23 06 28.22 -05 03 17.1          25.9 V      274
     AST035  2S2022 11 24.86442 23 06 28.46 -05 03 15.7          25.9 V      274
     AST036  2S2022 11 24.83262 23 06 30.43 -05 02 58.8          24.7 V      274
     AST036  2S2022 11 24.84852 23 06 30.65 -05 02 55.9          24.7 V      274
     AST036  2S2022 11 24.86442 23 06 30.87 -05 02 53.0          24.7 V      274
     AST037  2S2022 11 24.91500 23 06 28.06 -05 03 08.0          26.7 V      274
     AST037  2S2022 11 24.92705 23 06 28.54 -05 03 02.6          26.7 V      274
     AST037  2S2022 11 24.93885 23 06 29.00 -05 02 57.2          26.7 V      274
     AST038  2S2022 11 24.91500 23 06 27.94 -05 03 25.6          24.9 V      274
     AST038  2S2022 11 24.92705 23 06 28.43 -05 03 22.5          24.9 V      274
     AST038  2S2022 11 24.93885 23 06 28.91 -05 03 19.3          24.9 V      274
     AST041  2S2022 11 24.81865 23 06 29.05 -05 03 36.7          26.6 V      274
     AST041  2S2022 11 24.83069 23 06 29.80 -05 03 34.5          26.6 V      274
     AST041  2S2022 11 24.84250 23 06 30.53 -05 03 32.2          26.6 V      274
     AST042  2S2022 11 24.82443 23 06 29.41 -05 03 35.7          25.9 V      274
     AST042  2S2022 11 24.84033 23 06 30.40 -05 03 32.6          25.9 V      274
     AST043  2S2022 11 24.92584 23 06 29.84 -05 03 55.8          25.6 V      274
     AST043  2S2022 11 24.93548 23 06 30.83 -05 03 50.4          25.6 V      274
     AST043  2S2022 11 24.94512 23 06 31.82 -05 03 45.1          25.6 V      274
     AST079  2S2022 11 30.50037 23 06 28.89 -05 03 56.3          27.3 V      274
     AST079  2S2022 11 30.51521 23 06 29.41 -05 03 53.5          27.3 V      274
     AST079  2S2022 11 30.53005 23 06 29.92 -05 03 50.7          27.3 V      274
     AST080  2S2022 11 30.50037 23 06 31.22 -05 03 03.9          28.4 V      274
     AST080  2S2022 11 30.51521 23 06 31.50 -05 03 01.3          28.4 V      274
     AST080  2S2022 11 30.53005 23 06 31.77 -05 02 58.6          28.4 V      274
     AST081  2S2022 11 30.50037 23 06 28.81 -05 03 16.9          28.7 V      274
     AST081  2S2022 11 30.51521 23 06 29.54 -05 03 11.2          28.7 V      274
     AST081  2S2022 11 30.53005 23 06 30.29 -05 03 05.8          28.7 V      274
     AST082  2S2022 11 30.50037 23 06 28.49 -05 03 09.9          28.4 V      274
