     AST041 * C2017 05 15.68803 12 10 03.79 +05 45 07.3          17.6 Vq     C97
     AST041   C2017 05 15.72128 12 10 02.63 +05 45 28.5          17.6 Vq     C97
     AST041   C2017 10 25.70214 23 33 15.45 -04 13 09.6          18.3 Vq     C97
     AST041   C2017 10 25.76165 23 33 15.49 -04 12 58.9          18.2 Vq     C97
     AST041   C2017 10 28.64344 00 26 30.06 +00 34 54.0          18.7 Vq     C97
     AST041   C2017 10 28.70692 00 26 30.06 +00 35 05.7          18.0 Vq     C97
     AST041  2S2022 11 24.81865 23 06 29.05 -05 03 36.7          26.6 V      274
     AST041  2S2022 11 24.83069 23 06 29.80 -05 03 34.5          26.6 V      274
     AST041  2S2022 11 24.84250 23 06 30.53 -05 03 32.2          26.6 V      274


     AST033  2S2022 11 24.84852 23 06 28.81 -05 03 14.8          25.5 V      274
     AST033  2S2022 11 24.86442 23 06 29.37 -05 03 11.7          25.5 V      274
     AST034  2S2022 11 24.84852 23 06 28.43 -05 03 18.2          26.5 V      274
     AST034  2S2022 11 24.86442 23 06 28.83 -05 03 14.5          26.5 V      274
     AST035  2S2022 11 24.84852 23 06 28.22 -05 03 17.1          25.9 V      274
     AST035  2S2022 11 24.86442 23 06 28.46 -05 03 15.7          25.9 V      274
     AST036  2S2022 11 24.84852 23 06 30.65 -05 02 55.9          24.7 V      274
     AST036  2S2022 11 24.86442 23 06 30.87 -05 02 53.0          24.7 V      274
     AST037  2S2022 11 24.91500 23 06 28.06 -05 03 08.0          26.7 V      274
     AST037  2S2022 11 24.92705 23 06 28.54 -05 03 02.6          26.7 V      274
     AST037  2S2022 11 24.93885 23 06 29.00 -05 02 57.2          26.7 V      274
     AST038  2S2022 11 24.91500 23 06 27.94 -05 03 25.6          24.9 V      274
     AST038  2S2022 11 24.92705 23 06 28.43 -05 03 22.5          24.9 V      274
     AST038  2S2022 11 24.93885 23 06 28.91 -05 03 19.3          24.9 V      274
     AST041  2S2022 11 24.84250 23 06 30.53 -05 03 32.2          26.6 V      274
     AST043  2S2022 11 24.92584 23 06 29.84 -05 03 55.8          25.6 V      274
     AST043  2S2022 11 24.93548 23 06 30.83 -05 03 50.4          25.6 V      274
     AST043  2S2022 11 24.94512 23 06 31.82 -05 03 45.1          25.6 V      274
     AST079  2S2022 11 30.50037 23 06 28.89 -05 03 56.3          27.3 V      274
     AST079  2S2022 11 30.51521 23 06 29.41 -05 03 53.5          27.3 V      274
     AST079  2S2022 11 30.53005 23 06 29.92 -05 03 50.7          27.3 V      274
     AST080  2S2022 11 30.50037 23 06 31.22 -05 03 03.9          28.4 V      274
     AST080  2S2022 11 30.51521 23 06 31.50 -05 03 01.3          28.4 V      274
     AST080  2S2022 11 30.53005 23 06 31.77 -05 02 58.6          28.4 V      274
     AST081  2S2022 11 30.50037 23 06 28.81 -05 03 16.9          28.7 V      274
     AST081  2S2022 11 30.51521 23 06 29.54 -05 03 11.2          28.7 V      274
     AST081  2S2022 11 30.53005 23 06 30.29 -05 03 05.8          28.7 V      274
     AST082  2S2022 11 30.50037 23 06 28.49 -05 03 09.9          28.4 V      274
     AST082  2S2022 11 30.51521 23 06 29.02 -05 03 07.9          28.4 V      274
     AST082  2S2022 11 30.53005 23 06 29.55 -05 03 06.0          28.4 V      274
     AST083  2S2022 11 30.56782 23 06 28.44 -05 03 18.4          28.2 V      274
     AST083  2S2022 11 30.58266 23 06 29.12 -05 03 13.7          28.2 V      274
     AST083  2S2022 11 30.59750 23 06 29.80 -05 03 08.9          28.2 V      274
     AST084  2S2022 11 30.50037 23 06 33.82 -05 03 39.6          24.6 V      274
     AST084  2S2022 11 30.51521 23 06 34.54 -05 03 38.2          24.6 V      274
     AST084  2S2022 11 30.53005 23 06 35.27 -05 03 36.8          24.6 V      274
     AST085  2S2022 11 30.50037 23 06 28.83 -05 02 56.6          28.0 V      274
     AST085  2S2022 11 30.51521 23 06 30.01 -05 02 48.3          28.0 V      274
     AST085  2S2022 11 30.53005 23 06 31.20 -05 02 40.0          28.0 V      274
     AST086  2S2022 11 30.50037 23 06 33.67 -05 03 00.4          28.3 V      274
     AST086  2S2022 11 30.51521 23 06 34.34 -05 02 56.6          28.3 V      274
     AST086  2S2022 11 30.53005 23 06 35.00 -05 02 52.9          28.3 V      274
     AST033  2S2022 11 24.84852 23 06 28.81 -05 03 14.8          25.5 V      274
     AST033  2S2022 11 24.86442 23 06 29.37 -05 03 11.7          25.5 V      274
     AST034  2S2022 11 24.84852 23 06 28.43 -05 03 18.2          26.5 V      274
     AST034  2S2022 11 24.86442 23 06 28.83 -05 03 14.5          26.5 V      274
     AST035  2S2022 11 24.84852 23 06 28.22 -05 03 17.1          25.9 V      274
     AST035  2S2022 11 24.86442 23 06 28.46 -05 03 15.7          25.9 V      274
     AST036  2S2022 11 24.84852 23 06 30.65 -05 02 55.9          24.7 V      274
     AST036  2S2022 11 24.86442 23 06 30.87 -05 02 53.0          24.7 V      274
     AST037  2S2022 11 24.91500 23 06 28.06 -05 03 08.0          26.7 V      274
     AST037  2S2022 11 24.92705 23 06 28.54 -05 03 02.6          26.7 V      274
     AST037  2S2022 11 24.93885 23 06 29.00 -05 02 57.2          26.7 V      274
     AST038  2S2022 11 24.91500 23 06 27.94 -05 03 25.6          24.9 V      274
     AST038  2S2022 11 24.92705 23 06 28.43 -05 03 22.5          24.9 V      274
     AST038  2S2022 11 24.93885 23 06 28.91 -05 03 19.3          24.9 V      274
     AST043  2S2022 11 24.92584 23 06 29.84 -05 03 55.8          25.6 V      274
